Park Name,Category,count,Nativeness
Hawaii Volcanoes National Park,Nonvascular Plant,4,Not Native
Hawaii Volcanoes National Park,Reptile,2,Native
Hawaii Volcanoes National Park,Reptile,11,Not Native
Hawaii Volcanoes National Park,Slug/Snail,64,Native
Hawaii Volcanoes National Park,Slug/Snail,5,Not Native
Hawaii Volcanoes National Park,Spider/Scorpion,39,Native
Hawaii Volcanoes National Park,Spider/Scorpion,61,Not Native
Hawaii Volcanoes National Park,Vascular Plant,421,Native
Hawaii Volcanoes National Park,Vascular Plant,791,Not Native
Hot Springs National Park,Amphibian,22,Native
Hot Springs National Park,Bird,92,Native
Hot Springs National Park,Bird,25,Not Native
Hot Springs National Park,Fish,47,Native
Hot Springs National Park,Fish,5,Not Native
Hot Springs National Park,Mammal,31,Native
Hot Springs National Park,Mammal,3,Not Native
Hot Springs National Park,Reptile,48,Native
Hot Springs National Park,Vascular Plant,915,Native
Hot Springs National Park,Vascular Plant,230,Not Native
Isle Royale National Park,Amphibian,11,Native
Isle Royale National Park,Bird,256,Native
Isle Royale National Park,Bird,4,Not Native
Isle Royale National Park,Crab/Lobster/Shrimp,14,Native
Isle Royale National Park,Fish,51,Native
Isle Royale National Park,Fish,11,Not Native
Isle Royale National Park,Invertebrate,21,Native
Isle Royale National Park,Mammal,25,Native
Isle Royale National Park,Mammal,1,Not Native
Isle Royale National Park,Nonvascular Plant,1,Native
Isle Royale National Park,Reptile,3,Native
Isle Royale National Park,Vascular Plant,807,Native
Isle Royale National Park,Vascular Plant,183,Not Native
Joshua Tree National Park,Amphibian,5,Native
Joshua Tree National Park,Bird,295,Native
Joshua Tree National Park,Bird,5,Not Native
Joshua Tree National Park,Fish,1,Not Native
Joshua Tree National Park,Mammal,58,Native
Joshua Tree National Park,Mammal,5,Not Native
Joshua Tree National Park,Reptile,52,Native
Joshua Tree National Park,Vascular Plant,828,Native
Joshua Tree National Park,Vascular Plant,53,Not Native
Katmai National Park and Preserve,Amphibian,1,Native
Katmai National Park and Preserve,Bird,201,Native
Katmai National Park and Preserve,Bird,2,Not Native
Katmai National Park and Preserve,Fish,40,Native
Katmai National Park and Preserve,Mammal,47,Native
